Time (s),AccelX (g),AccelY (g),AccelZ (g)
15.6790,63.9980,63.9980,63.9980
15.7050,127.9043,0.0918,127.9355
15.7310,127.9160,0.0781,127.9238
15.7570,127.9395,0.0898,127.9707
15.7820,127.9355,0.0996,127.9629
15.8080,127.9199,0.1055,127.9590
15.8350,127.8945,0.0840,127.9551
15.8600,127.9121,0.0801,127.9492
15.8860,127.9160,0.0879,127.9492
15.9110,127.9199,0.0586,127.9434
15.9370,127.9082,0.0684,127.9258
15.9640,127.9043,0.0879,127.9219
15.9890,127.9238,0.0918,127.9102
16.0150,127.9199,0.1094,127.9219
16.0400,127.9336,0.0820,127.9238
16.0660,127.9453,0.0703,127.9277
16.0920,63.9980,63.9980,63.9980
16.1180,127.9473,0.0820,127.9395
16.1440,127.9434,0.0684,127.9512
16.1690,127.9297,0.0781,127.9258
16.1950,127.9043,0.0586,127.9141
16.2210,127.9258,0.0742,127.9297
16.2470,127.9219,0.0938,127.9297
16.2730,127.9453,0.0879,127.9473
16.2980,127.9414,0.0918,127.9609
16.3240,127.9297,0.0898,127.9746
16.3500,127.9414,0.0859,127.9902
16.3760,127.9570,0.0840,127.9219
16.4020,127.9434,0.1094,127.9551
16.4270,127.9414,0.1094,0.0137
16.4530,127.9375,0.1016,127.9961
16.4800,127.9570,0.1152,0.0156
16.5040,63.9980,63.9980,63.9980
16.5310,127.9570,0.1152,0.0254
16.5560,127.9453,0.1074,127.9824
16.5820,127.9395,0.0840,127.9629
16.6080,127.9238,0.0801,127.9844
16.6340,127.9297,0.0977,0.0605
16.6600,127.9258,0.0957,0.0117
16.6860,127.9219,0.0762,127.9590
16.7110,127.9297,0.0762,127.9258
16.7370,127.9453,0.0703,127.9531
16.7630,127.9609,0.0684,127.9805
16.7890,127.9746,0.0723,127.9824
16.8150,127.9688,0.0684,127.9844
16.8400,127.9434,0.0840,127.9570
16.8660,127.9316,0.1055,127.9590
16.8920,127.9160,0.0957,127.9629
16.9180,63.9980,63.9980,63.9980
16.9440,127.9141,0.0781,127.9688
16.9690,127.9297,0.0840,127.9512
16.9950,127.9375,0.1035,127.9473
17.0210,127.9453,0.0977,127.9375
17.0470,127.9629,0.0996,127.9609
17.0730,127.9629,0.1074,127.9609
17.0980,127.9551,0.1016,127.9512
17.1240,127.9297,0.0977,127.9414
17.1500,127.9082,0.1074,127.9316
17.1760,127.9180,0.0840,127.9590
17.2020,127.9258,0.0801,127.9531
17.2270,127.9336,0.0840,127.9512
17.2530,127.9395,0.0918,127.9590
17.2790,127.2949,115.9766,121.2910
17.3050,2.2891,101.4512,113.5234
17.3310,63.9980,63.9980,63.9980
17.3560,0.8281,108.7793,121.3594
17.3820,126.6836,125.1074,0.8770
17.4070,125.3398,1.4707,124.8379
17.4340,126.4629,1.1348,123.5039
17.4600,127.1348,1.5137,126.8867
17.4850,126.7383,0.9609,127.0605
17.5110,126.4160,0.8633,126.7422
17.5360,127.1973,3.8535,126.9531
17.5630,126.7734,3.2930,127.9141
17.5890,127.0645,2.3574,1.3301
17.6140,127.1562,3.6973,1.3281
17.6400,127.0059,10.4336,123.4082
17.6650,127.0996,6.4043,125.1289
17.6920,0.0879,3.3301,126.6309
17.7180,0.1875,1.8066,127.0859
17.7430,63.9980,63.9980,63.9980
17.7690,0.2559,0.9668,127.2402
17.7950,0.1953,3.0312,127.1738
17.8210,126.7910,10.0605,126.6074
